,ProductName,ProductGroupName,DB,Server
24,SAUCE PORTION,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
25,V MACCHIATO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
26,Egg & Spinach Pot,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
27,Medio Tea,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
28,Massimo Hot Choc,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
29,HH Tall Mocha,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
30,TEACAKE,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
31,COSTA 1.20 WAFERS,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
32,Own cup,HOT DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
33,G FRAPPACINO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
34,TOMATOES,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
35,£3.00 Grab Bag,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
36,Costa Rudolph biscuit,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
37,MINSTRELS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
38,BAGEL,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
39,HH Grande Americano,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
40,SOUP,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
41,HH Tall Tea,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
42,VEGGIE BURGER,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
43,LOLLIPOPS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
44,Milk / Sugar 20P,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
45,BELGIUM WAFFLE,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
46,OHSO Giant Soft Cookie ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
47,OHSO Giant Cookie ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
48,COSTA P MOCHA,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
49,BOTTLE POP,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
50,REG FRUIT,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
51,SUB CLASSIC,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
52,Salted C Latte M ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
53,Zero Can,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
54,M STRAW FROST,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
55,SYRUP / CREAM ,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
56,COSTA 2.50 SHORTBREAD,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
57,Cheddar Flatbread ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
58,SAUSAGE COB,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
59,McCoys,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
60,TALL MACCHIATO,STARBUCKS ,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
61,WHOLE FRUIT,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
62,P Strawberry,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
63,Real Wrap D,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
64,SAUSAGE,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
65,DORITOS,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
66,BATTERED SAUS,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
67,PREMIUM PANINI,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
68,PIZZA SLICE,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
69,HH Grande Hot Choc,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
70,V LATTE CAP,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
71,93p promo,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
72,Quavers,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
73,V FILTER COFFEE,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
74,Real Wrap £3.50 Meal Deal ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
75,Real Wrap £2.75 Meal Deal ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
76,BREAKFAST COB,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
77,LOADED CHIPS,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
78,G ICE C MACH,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
79,HH Venti Mac,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
80,Ketchup,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
81,G MACCHIATO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
82,PASTA POT,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
83,Rice Cake ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
84,PANINI,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
85,spring roll,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
86,SANDWICH 2.15,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
87,T ICE MOCHA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
88,Massimo Americano,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
89,Deluxe Cheese cake pot ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
90,PHAT TURNOVER,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
91,SHORTBREAD PK,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
92,T ICE LATTE,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
93,Twin Cookie,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
94,B/ HALL HOT DRINK ,HOT DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
95,£3.50 Hot Meal deal,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
96,B/F Hot Choc MED,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
97,Banoffee Pot ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
98,M SLT CAR FROST,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
99,PHAT PASTY,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
100,8 ITEM BREAKFAST,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
101,Real Wrap B,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
102,5 ITEM BREAKFAST,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
103,SM DESSERT POT,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
104,EGG,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
105,CROISSANT,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
106,LARGE FISH,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
107,Pretzels ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
108, G LATTE CAP,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
109,WATER X 2 BOTS,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
110,BUTTER PORTION,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
111,HH Grande Mocha,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
112,EAT REAL LG,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
113,Costa Can,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
114,V HOT CHOC,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
115,JACKET HOT FILL,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
116,JAM PORTION,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
117,LION BAR,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
118,P MAN PAS COOL,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
119,SUB 2 TOP,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
120,V AMERICANO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
121,B/F Hot Choc LRG,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
122,TALL HOT CHOC,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
123,SYRUP / CREAM ,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
124,PANINI 2.25,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
125,EAT NATURAL,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
126,RUBICON CAN,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
127,HH Grande Latte,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
128,Sweet Chilli Noodle pot ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
129,Co Fresh,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
130,PREM SAND,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
131,M MAN PAS COOL,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
132,DOUBLE DECKER,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
133,G CAPPUCCINO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
134,Pringles ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
135,Real Wrap E,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
136,B/FAST BAGUETTE,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
137,Primo Tea,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
138,JUICE CARTONS,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
139,CAPRI SUN,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
140,THEME DAY,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
141,OHSO Assorted Muffins ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
142,COLD WRAP,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
143,Kettle Chips ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
144,PREM DESSERT,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
145,Shortbread ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
146,T TAZO TEA,HOT DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
147,WALKERS BAKED,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
148,Costa SM Xmas Hot Choc ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
149,COKE BOTTLE,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
150,G STRAW FRAP,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
151,SUB M DEAL,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
152,Gingerbread Latte MED,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
153,YORKIE,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
154,Polo,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
155,OHSO Rice Cake Bar,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
156,HH Grande Mac,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
157,Sweet Bag £1.60,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
158,PORRIDGE,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
159,WOTSITS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
160,Biscuits,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
161,Extra Coffee Shot,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
162,BEAN - TOMATO,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
163,Gingerbread Latte LRG,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
164,HH Tall Mac,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
165,FRUIT POT,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
166,WATER,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
167,BLACK PUDDING,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
168,HH Tall Latte,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
169,COSTA 1.80 SNACKS,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
170,HH Hot Choc,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
171,DONUT,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
172,HH Venti Americano,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
173,TALL CAPPUCCINO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
174,LG SALAD BOX,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
175,BEEF BURGER,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
176,Ploughmans Pot ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
177,LUCOZADE,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
178,P Mango & Passionfruit,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
179,Hippeas,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
180,VEGAN BREAKFAST WRAP ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
181,TOFFEE CRISP,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
182,COSTA P HOTCHOC,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
183,G MOCHA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
184,OHSO Flapjack Assorted ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
185,MAIN VEGGIE,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
186,T STRAW  FRAP,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
187,DELICIOUS IDEAS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
188,Juiceburst,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
189,Half Price Panini,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
190,TALL  AMERICANO,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
191,MARS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
192,COOKIES,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
193,M Belgium Choc ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
194,G ICED DRINK,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
195,HH Tall Capp,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
196,SMALL FISH,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
197,Real Wrap G,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
198,Sm Haribo Bag,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
199,ORANGE CARTON,COLD DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
200,COSTA S ESPRESSO,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
201,PENCILS,STATIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
202,HH Venti Tea,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
203,50p Flapjack,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
204,Massimo Mocha,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
205,BAGEL PHILLY,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
206,CHIPS,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
207,CEREAL BAR,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
208,HH Venti Cappucino,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
209,OMJ Can,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
210,Crudities Pot ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
211,PAIN CHOC,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
212,TALL LATTE ,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
213,G TEA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
214,HOT WRAP,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
215,COSTA D ESPRESSO,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
216,ANNEX HOT DRINK ,HOT DRINKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
217,SALAD POT,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
218,HH Tall Americano,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
219,SM FRUIT POT,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
220,JUMBO SAUSAGE,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
