,Exemplar,Cluster
64,Guinness ,"Gin, Guiness , Guinness "
65,Deliciousideas Double Chocolate Muffin ,"36.Nederburg Manor Chardonnay Bottle, 55.Don Jacobo Rioja Rosado, Chablis Paul Deloux 75cl, Dbl Macchiato , Delicious Ideas Rainbow Muffin, Deliciousideas Double Chocolate Muffin , Jacobs Mini Cheddars Original 35g, Maltsmiths IPA Half (+Eco cup), Mc Coffee Roast Machine, Meal of the day, Metcalfes Rice Cake  - Dark Choc, Pulled Chicken Tostadas HO"
66,BLT,BLT
67,CH Espresso ,"CAKE Dessert, CH Espresso , Coco Pops, Espresso, Nespresso Coffee "
68,AMSTEL HALF,"ADD MUSHY PEAS - STAFF, ALWAYS 16, AMSTEL HALF, MOCHA SMALL, OLD MOUT HALF , SMALL MERLOT "
69,MPH-D-111,MPH-D-111
70,175ml - Chenin Blanc LB,"175ml - Chardonnay David Bruce, 175ml - Chenin Blanc LB, CL101 - Classic BLT, Cable Crossing Shiraz 175ml, Chapeau Melon Blanc 175ml, Chenin Blanc 250ml, JV Blanc 125ml"
71,Bells Double 50ml,"1500ml Gusbourne Rose, Add belu 500ml, BSYou150ml, Bells Double 50ml, Bobby's BBQ Sauce 50p, Malibu Double 50ml"
72,Soda Water,"Extra Shot, Flavoured Water Large, Freddo, Hot Water, Sando Wafer, Shortbread, Shortbread 0.85, Soda Water, Wedge, Wild Water"
73,Trebor Soft mint,"Honeycomb Tiffin , Knife/ Fork/ Spoon, Side Corn Cob, Smirnoff 5cl Bottle, Soft Drink , Trebor Soft mint"
74,750ml Bottle Tuatara Bay Pinot Noir,"750ml Bottle Tuatara Bay Pinot Noir, Fanta Zero 500ml PET, Healy & Gray Zinfandel Rose 750ml Bottle, NW B27 Rama Tinto, Powerade Berry & Tropical 500ml, Premium Filling 0.95, Tanqueray Gin 50ml (+ Eco cup), Vimto Original Fizzy Bottles 500ml, Whitley Neil Parma Violet 25ML"
75,Fanta Orange,"CONF Kit Kat 4 Finger, Can 'O Water, Fanta Orange, Ltr Carton O/J"
76,Vegan Burrito,"Bacon Baguette (2), Butter portion, Cointreau, Heavenly Beef Burger, NW B16 Sauvingnon Lanya, Non-Veg Soup, Tote Bag, Van Buttons Lotus, Van Water Lotus, Vegan Brekkie Pot, Vegan Burrito, Vegetarian Burger & Chips, Veggie Burger"
77,Diet coke - 500ml,"500ml Zero/Diet, Deli - 60p, Diet Coke 150ml Can, Diet coke - 500ml, Family ticket - up to 5 people"
78,Water Still 500ml,"Baileys 50ml, Belu Still Water 330ml, Evian Still 500ml, Princes Gate Still Water 500ml, RibenaStraw500m, Semi Skimmed 50ml, Spirit 25ml, Sprite Zero BTL 500ml, Still Strathmore Water, Water Still 500ml"
79,Monster 1.45,"Dessert (1.70), Eton Mess, Monster 1.35, Monster 1.45, Monster zero, Monte Verde Merlot Rose 175ml, Snooker 11-4"
80,Large Pork Pie,"Large Cookie X2, Large Pork Pie, Leek & Potato, London Pride, Premium Pork Sausage"
81,Real Crisps,"Aspalls Half, CRISP Premium Crisps, Caramel Waffles, Chef special, Crabbies , Green Tea, Rasp & Jasmine, Kberg Raspberry, Milk Cake Rose, Open Retail, Real  Crisps , Real Crisps, Real crisps, Reusable Cup, spare"
82,Lucozade Org,"Lucozade, Lucozade Orange, Lucozade Org"
83,Vegetable Samosa,"Jumbo Vegedog, Oh So toffee blast, Roasted Veg, Steamed Veggies, Tomato & meatball pasta BK, Vegan Scramble Egg, Vegetable Samosa, Vegetables, Veggie sausage bap, boiled egg"
84,Cab Merlot 125ml,"125ml, 250ml H&G Merlot, CC meatball melt, Cab Merlot 125ml, Club Slimline Tonic 125ml, Corkys Cherry 25ml, Courvoisier XO 25ml, Malbec 125ml Gls, Merlot Riviera 175ml, S1 500ml chrome bottle £22.00, Urban Eat - 2.75"
85,VK Blue - 275 ml,"VK Blue , VK Blue - 275 ml"
86,Mexican Vegan Roll,"Macchiatto Rgl, Mexican Vegan Roll, Mexican Veggie Chilli, Pizza Veg Slice, Ribena Mango and lime , Rice Mogadarra, Vegan Mayo270g"
87,Meat Panini,"Aero Mint, Evian Water, FISH Main, Kit Kat, Main Meal 2.92, Meat & Potato Pie (HMP), Meat Feast Pizza, Meat Panini, Mince Pie, Minty Mushy Peas , Panini, Panini Deal, Pizza Margherita, Snakebite 2 Pint"
88,Santa Digna Merlot Bottle,"1litre Soya Milk, 600g Digestion Boost Wholemeal, Big Bombora Shiraz, Bottega Spritz , Bottled Zero Drink, Dairy Porridge - Plain, Deli Bar Protein Filling, Development Main C, Double Spirit & Mixer, Dove original, Glenmorangie Bottle, Hot Bite SMALL, Moretti Blade 8L, OMJ Carton Berry, Santa Digna Merlot 125ml, Santa Digna Merlot Bottle, T2MorningSun, Veg & Mozzarella on White, Waffle Bar 2 topping, Water Melon Bag"
89,Peanut Pot,"Jacket Potato, Peanut Pot, Pot of Tea, Puttenasca, Tuna Pot, Tuna mayo pot, Water - Pequeno"
90,Adkins Cake,"Add Vegan Cheese, Adkins Cake, Baby Faced Assassin, Can Alibi, Canned drinks"
91,Sour Cream,"Cocoa Cream Wafers, Courvousier ***VS, Cream, Cream Soda, Double Sambuca, Famous Grouse, Grove Soul, Keep a Cup, SB Frap Coffee, Soup Small, Sour Cream, £1 Promo"
92,Chips,"Add Chips, BK Chips, Chilli & Chips, Chips, Crisps, Whippy"
93,Box Salad B,"Box Salad B, Mix Salad   - Small , Salad Pot , Tuna Salad Box"
94,Oat Milk,"Milk, Milk 1pt , Oat Milk"
95,Flat White,"Chai Latte Rgl, Delia Latte, Flat White, Flat White , KC Flat White, White"
96,Cheese Sandwich," Sandwich, Cheese Sandwich, Chefs Salad, Ham & Cheese Sandwich, Homemade Scones, Meal Deal - Sandwich , Premium Sandwich, Sandwich £2.35, Sandwiches Band D, Steak Sandwich, Sweet Chilli Chicken"
97,Lemon Cheesecake,"Combo Chicken, Enhancement 0.60, Fanta Lemon Can, Jakemans H&I, Jamesons Whiskey 50ML, Latte of the week, Lemon Cheesecake, Lemon Vegan Cake, Lemonade Dash , Loacker Cremkakao, Lychee, Trek Cocoa Chaos Energy"
98,W30. Don David,"*Add on 3.50, DoveBioBabyWipe, W30. Don David"
99,Sausage Roll,"Eat Real Hummus Sea Salt, Sausage Roll, Seasonal Soup"
100,SOHO Product £4.30,"LT Sundry £1.00, SOHO Product £4.30, SOHO £3.65, Salad Pot £3.75"
101,Can Coke,"Cake Vanilla, Can , Can Coke, Can Coke Zero, Cookie, Oreo Cookie"
102,Black Tea,"Black Tea, Elm St Ice Tea, KC BTC Tea, Tea Black 9oz, Teacake, Tray Bake"
103,Protein Pot Cheese,"* Cheese Pot HOL, Add Pepsi Cherry £1, CC Hot Choc Primo, Cheese Pot, Coffee Frostino Primo, Cornetto, Diet Coke Pint, Ear Phones, Protein Pot Cheese, Protein Pots, Stowford Press Cider, Veggie Pie with Chips, White Coffee, Yorkshire Crisps"
104,Twix,Twix
105,Coke Dash PM,"Coke Dash PM, Coke Zero Dash PM"
106,Classic Burger,"Apple Juice - glass, Bulmers Original 568ml, Carlsberg Can , Classic Burger, Classic Burger Kids., Eggs Benedict (LC)"
107,classic chicken tortilla,"4 Chicken Strips, Asst. Lacnor, Chicken Gyros HO, Chicken Nasi Goreng HO, Chicken Noodles rice Noodles, Churchill Coke cola , Coronation Chicken Pot 6oz, Coronation Chickpea on Granary, Discount Voucher, Eat real lentil  chips , Hot snack , Naked smoothie Red Machine, Plain Jacket Potatoes , Pocket Umbrella - Green, Tomato & Mozzarella Gnocchi, Yes Bar - Cranberry Chocolate, ZZZZInnocent Fruit Juice Fresh Apple , classic chicken tortilla, haribo tangfastics, inchs cider half pint, sea salt popcorn"
108,Bush Telegraph 250ml,"Black Sheep 500ml, Bush Telegraph 175ml, Bush Telegraph 250ml, Sauv B 250ml, Wray & Nephew Rum 25ml"
109,House White Wine 125ml Glass,"125ml Whispering Angel, 187ml House White Btl, Antica Murrina Rosato 125ml, Berri Estates, Chardonnay 125ml, Fish Hoek 125ml, Founders Stone White Zinfandel 175ml, Gin - Sipsmith 25ml, Henriot Brut 125ml, House White Wine 125ml Glass, Oban Whiskey 25ml, Rose Wine 125ml"
110,GRAND MARNIER 25ML,"GLENFIDICH 25ML, GRAND MARNIER 25ML, JAGER 25ML , MARTELL 25ML, TANQUERAY SEVILA 25ML"
111,Pepsi,"Pepsi, Pepsi PET, Pie"
112,Saute Mushrooms,"Chateau Montrose, Head &Shoulder Shampoo-200Ml, M&A Small sable butter 40gr, Moet Rose Quarter, Mushroom en croute, Saute Mushrooms, Smoothies, Soho Ham Cheddar & Mustard Mayo Baguette, Squash & Tom, Surimi Sushi Box, Syrup Shot, Tom Yum Bamboo & Mushroom"
113,Dairy Milk Caramel,"1 Course Meal 6 Days, Cadbury Dairy Milk Caramel 45g, Cranberry Mixer, Dairy Milk, Dairy Milk Caramel"
114,Cheese Baguette,"Baguettes, Bobbys Cashew Nuts, Cheese Bagel, Cheese Baguette, Chefs Veggy, Egg Baguette, Theatre Burger"
115,Advocado Toast,"Advocado Toast, Avocado and Egg on Toast"
116,BAR,BAR
117,Chicken Burger,"BBQ Chicken Burger, BBQ Chicken Wings, Chicken Burger, Chicken Burger & Chips , Chicken Burger Meal Deal, Chicken Leg, Chicken Wings & Fries Snack Box, Chicken curry, Coronation Chicken Baguette, Meringue, Rush Energy drink, Zinger Drinks"
118,Prosecco Bottle ,"Grey Goose Bottle , Jelly Pot, Mccoys Fire Pit, Paracetamol x 16, Polos, Pomme Bears, Primo Over Ice Berries, Prosecco Bottle , Prosecco Villa 75cl, Serenello Prosecco Veneto 75cl"
119,stella pull through,"Fresh Apple, Go ahead apple & sultana, Hargold Yoghurt Flapjack, Hula hoops salt & vinegar, Muller Vitality Yoghurts, Muller Yoghurt, Orange Push Up, Paratha omelet, Yoghurt Pot, stella pull through"
120,Boost,"Biscuits, Boost"
121,Americano Small,"Americano Small, B&B Americano 12oz, Caramel Slice, Cinnamon Swirl, Extreme Stracciatella cone, HH Tall Americano, Iced Americano Large  , Medio Americano, Salchichón Ibérico, Salmon, San Pellegrino Lemon, Special roll, Table Top Americano"
122,Toasties,"Deposit, Head Ties, Niccoise, Thats Life, Toast, Toastie ., Toasties, Tomatoes , potatoes"
123,Smirnoff Vodka 25ml,"Cognac VS 25ml, Okra Salona, Smirnoff Vodka, Smirnoff Vodka 25ml, Smirnoff Vodka 50ml, Viura 125ml"
124,1/4lb beef burger,"1/4 Beef Burger, 1/4lb beef burger, Double Beef Burger"
125,Sunday sandwich ,"Owners Sunday Lunch Walk-In, Sandwiches & Baguettes 3.25, Shandy PINT, Simply ham sandwich, Sunday sandwich , Tuna Mayo & Onion Sandwich, as Shandy"
126,Simply Salami Gluten Free,"200ml I Heart Frizzante Brut, Delias Steak Supplement, Fatayer Small, Hazlenut Syrup ZP, Maple Syrup, Omelette - plain, Porridge to Go Quaker Golden Syrup, Salade HM Pates, Dinde & Gruyere, Simply Lunch Tortilla E, Simply Salami Gluten Free, Vanilla Syrup"
